gapy --target=gapuino_v3 --platform=board --work-dir=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS      run --exec-prepare --exec --binary=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS/test_mem  
TARGET create
GAP8 INIT TARGET
GAP8 examine target
Init jtag
Initialising GAP8 JTAG TAP
Loading binary through JTAG
894 0.000544 1643769.125000
895 0.000545 1642129.500000
896 0.000531 1686340.500000
897 0.000545 1645026.375000
898 0.000546 1644158.500000
899 0.000547 1642525.250000
900 0.000534 1686960.125000
901 0.000548 1645409.750000
902 0.000548 1644545.000000
903 0.000550 1642917.375000
904 0.000536 1686768.625000
905 0.000550 1645789.625000
906 0.000551 1644545.750000
907 0.000552 1643306.500000
908 0.000538 1686979.750000
909 0.000552 1646166.625000
910 0.000553 1644927.250000
911 0.000554 1643692.375000
912 0.000541 1686789.875000
913 0.000555 1646160.250000
914 0.000556 1645305.250000
915 0.000557 1644074.875000
916 0.000543 1687397.000000
917 0.000557 1646911.000000
918 0.000558 1645302.875000
919 0.000559 1644454.250000
920 0.000545 1687206.625000
921 0.000559 1646901.375000
922 0.000560 1645676.250000
923 0.000561 1644830.625000
924 0.000548 1687412.375000
925 0.000562 1647267.500000
926 0.000563 1646046.500000
927 0.000564 1644830.125000
928 0.000550 1688009.250000
929 0.000564 1647630.625000
930 0.000565 1646414.125000
931 0.000566 1645574.000000
932 0.000552 1687818.750000
933 0.000566 1647990.625000
934 0.000567 1646778.375000
935 0.000568 1645941.375000
936 0.000554 1688019.375000
937 0.000568 1648347.875000
938 0.000569 1647139.750000
